id,brand,category,price,title,review,rating,image_link,product_link,from_page_link
2930867,Honor,Hàng Quốc Tế/Thiết Bị Số - Phụ Kiện Số/Loa nghe nhạc,249000,Loa Bluetooth Hình Thiên Nga Huawei/ Honor AM08,(812 nhận xét),width:91%,https://salt.tikicdn.com/cache/200x200/ts/product/9f/ad/77/114bfa78f9b8860daba7e59a41d2fb15.jpg,https://tiki.vn/loa-bluetooth-hinh-thien-nga-huawei-honor-am08-p2930867.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
2935385,Anker,Hàng Quốc Tế/Thiết Bị Số - Phụ Kiện Số/Thiết bị số - Khác,138000,Dây Sạc ANKER A7101621 Được Chứng Nhận MFi Cho Iphone / Ipad,(95 nhận xét),width:80%,https://salt.tikicdn.com/cache/200x200/ts/product/a9/92/11/a51fa2d416f113fec2019ca3d38cd2c0.jpg,https://tiki.vn/day-sac-anker-a7101621-duoc-chung-nhan-mfi-cho-iphone-ipad-p2935385.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
2957057,Deerma,Hàng Quốc Tế/Điện gia dụng/Thiết bị gia đình/Máy hút bụi,458000,Máy Hút Bụi Mini Cầm Tay DEERMA DX128C - Xanh Mint,(124 nhận xét),width:89%,https://salt.tikicdn.com/cache/200x200/ts/product/94/93/72/488aef44864e8ec9ce176a47f834d903.jpg,https://tiki.vn/may-hut-bui-mini-cam-tay-deerma-dx128c-xanh-mint-p2957057.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
2506131,Olay,Hàng Quốc Tế/Làm Đẹp - Sức Khỏe/Trang điểm/Trang điểm mặt,19000,Mặt Nạ Dưỡng Trắng Olay (1 Miếng),(27 nhận xét),width:85%,https://salt.tikicdn.com/cache/200x200/ts/product/b4/5a/4e/11f371479e8a8d517653347ecf0d115e.jpg,https://tiki.vn/mat-na-duong-trang-olay-1-mieng-p2506131.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
15678324,Xiaomi,Hàng Quốc Tế/Làm Đẹp - Sức Khỏe/Thiết bị chăm sóc sức khỏe/Thiết bị khác,156000,Khẩu Trang Có Van Thở Xiaomi Smartmi (3 Cái),(77 nhận xét),width:92%,https://salt.tikicdn.com/cache/200x200/ts/product/45/8d/d9/be7a23605e64e9dc0f95d897c4de8a6d.jpg,https://tiki.vn/khau-trang-co-van-tho-xiaomi-smartmi-3-cai-p15678324.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
21266460,Xiaomi,"Hàng Quốc Tế/Điện gia dụng/Thiết bị gia đình/Bàn ủi, bàn là",549000,Bàn Ủi Hơi Nước Cầm Tay Xiaomi Zanjia GT-301W (1200W),(42 nhận xét),width:83%,https://salt.tikicdn.com/cache/200x200/ts/product/18/84/e6/c08e87916edc6f018fb0527af3c14f75.jpg,https://tiki.vn/ban-ui-hoi-nuoc-cam-tay-xiaomi-zanjia-gt-301w-1200w-p21266460.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
13426654,Xiaomi,Hàng Quốc Tế/Làm Đẹp - Sức Khỏe/Chăm sóc da mặt/Dụng cụ chăm sóc da mặt,229000,Máy Rửa Mặt Sóng Âm Xiaomi inFace - Hàng Chính Hãng,(45 nhận xét),width:81%,https://salt.tikicdn.com/cache/200x200/ts/product/52/99/cc/b6e522a3dba96cff29b8663301584c8d.jpg,https://tiki.vn/may-rua-mat-song-am-xiaomi-inface-hang-chinh-hang-p13426654.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
3457771,Lock&Lock,Hàng Quốc Tế/Nhà Cửa - Đời Sống/Dụng cụ phòng ăn & nhà bếp,479000,Combo 2 Bình Nước Giữ Nhiệt Lock&Lock,(99 nhận xét),width:90%,https://salt.tikicdn.com/cache/200x200/ts/product/5c/2b/c6/384fbdd420cd7690dec8636bb99d5e8f.jpg,https://tiki.vn/combo-2-binh-nuoc-giu-nhiet-lock-lock-p3457771.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
3751101,DM,Hàng Quốc Tế/Laptop & Máy Vi Tính/Thiết bị lưu trữ/USB,99000,USB Kim Loại Chống Thấm Nước Có Móc Khóa DM 32G,(44 nhận xét),width:70%,https://salt.tikicdn.com/cache/200x200/ts/product/d5/93/79/a8d0f72b4d097e5834ca0930c5c6399f.jpg,https://tiki.vn/usb-kim-loai-chong-tham-nuoc-co-moc-khoa-dm-32g-p3751101.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
2506959,Xiaomi,Hàng Quốc Tế/Thiết Bị Số - Phụ Kiện Số/Tai nghe,149000,Tai Nghe Xiaomi MI Piston,(38 nhận xét),width:92%,https://salt.tikicdn.com/cache/200x200/ts/product/3e/8a/4b/74a2cae02452ef0954fb22f798367c48.jpg,https://tiki.vn/tai-nghe-xiaomi-mi-piston-p2506959.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
15595572,Xiaomi,Hàng Quốc Tế/Thiết Bị Số - Phụ Kiện Số/Tai nghe,198000,Tai Nghe Bluetooth Tích Hợp Micro Xiaomi QCY QY19 - Hàng Chính Hãng,(32 nhận xét),width:96%,https://salt.tikicdn.com/cache/200x200/ts/product/e7/89/52/cb26cd04d675406dfb193dcfa104540f.jpg,https://tiki.vn/tai-nghe-bluetooth-tich-hop-micro-xiaomi-qcy-qy19-hang-chinh-hang-p15595572.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
3467129,Glory,Hàng Quốc Tế/Thiết Bị Số - Phụ Kiện Số/Tai nghe,99000,Tai Nghe Bluetooth Không Dây Glory AM04S ,(16 nhận xét),width:70%,https://salt.tikicdn.com/cache/200x200/ts/product/94/36/03/1652b8c19883f0350758fd2d33751fe7.jpg,https://tiki.vn/tai-nghe-bluetooth-khong-day-glory-am04s-p3467129.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
2930077,Anker,Hàng Quốc Tế/Thiết Bị Số - Phụ Kiện Số/Thiết bị số - Khác,139000,Cáp Sạc Cổng Micro USB 1.8m Anker A7116 - Đỏ,(32 nhận xét),width:90%,https://salt.tikicdn.com/cache/200x200/ts/product/45/f0/48/c5cc74b9f61d17291b2e138c7a52b5c0.jpg,https://tiki.vn/cap-sac-cong-micro-usb-1-8m-anker-a7116-do-p2930077.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
2926523,Anker,Hàng Quốc Tế/Thiết Bị Số - Phụ Kiện Số/Thiết bị số - Khác,199000,Cáp Sạc Truyền Dữ Liệu Lightning Anker ,(68 nhận xét),width:84%,https://salt.tikicdn.com/cache/200x200/ts/product/39/54/47/a9db899293f1b42942caad5426d1c8a1.jpg,https://tiki.vn/cap-sac-truyen-du-lieu-lightning-anker-p2926523.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
3439333,JOBON,Hàng Quốc Tế/Thời Trang/Túi xách và Phụ kiện/Phụ kiện,95000,Móc Khóa JOBON  ZB-098G,(58 nhận xét),width:85%,https://salt.tikicdn.com/cache/200x296/ts/product/de/25/48/22ef62189fa508a030888a91bd0bab47.jpg,https://tiki.vn/moc-khoa-jobon-zb-098g-p3439333.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
15595590,Xiaomi,Hàng Quốc Tế/Thiết Bị Số - Phụ Kiện Số/Tai nghe,389000,Tai Nghe Bluetooth Không Dây Xiaomi QCY T2C ,(53 nhận xét),width:87%,https://salt.tikicdn.com/cache/200x200/ts/product/68/b2/ac/683fb7829e5261dc5b50c8302f6a1e92.jpg,https://tiki.vn/tai-nghe-bluetooth-khong-day-xiaomi-qcy-t2c-p15595590.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
34517930,Xiaomi,Hàng Quốc Tế/Làm Đẹp - Sức Khỏe/Chăm sóc cá nhân/Sản phẩm chăm sóc cá nhân khác,199000,Khẩu Trang Chống Bụi PM2.5 Xiaomi Smartmi (3 Cái),(3 nhận xét),width:86%,https://salt.tikicdn.com/cache/200x200/ts/product/8d/b0/5f/bdc3d07d4084273007a72fc8d752ecde.jpg,https://tiki.vn/khau-trang-chong-bui-pm2-5-xiaomi-smartmi-3-cai-p34517930.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
2927891, GAOMON,Hàng Quốc Tế/Laptop & Máy Vi Tính/Linh kiện máy tính,599900, Bảng Vẽ Điện Tử Gaomon 1060Pro - 10x6 inch,(142 nhận xét),width:87%,https://salt.tikicdn.com/cache/200x200/ts/product/78/83/23/7cad758fc5e8fd666e7be6f042860535.jpg,https://tiki.vn/bang-ve-dien-tu-gaomon-1060pro-10x6-inch-p2927891.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
10417652,Deli,"Hàng Quốc Tế/Sách, Văn phòng phẩm & Quà lưu niệm/Văn Phòng Phẩm/Văn Phòng Phẩm Khác",99900,Deli (deli) 24 color 5ml student art special entry level watercolor painting paint watercolor paint 73861,(10 nhận xét),width:88%,https://salt.tikicdn.com/cache/200x200/ts/product/8b/77/a5/0342e035f1bfea39fae6e376ee8255bb.jpg,https://tiki.vn/deli-deli-24-color-5ml-student-art-special-entry-level-watercolor-painting-paint-watercolor-paint-73861-p10417652.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
3424291,Orico ,Hàng Quốc Tế/Thiết Bị Số - Phụ Kiện Số/Thiết bị số - Khác,158000,Hộp Đựng Ổ Cứng ORICO,(34 nhận xét),width:82%,https://salt.tikicdn.com/cache/200x200/ts/product/31/4f/c8/1babb1ff5512d63972a21b3c0a78b3e6.jpg,https://tiki.vn/hop-dung-o-cung-orico-p3424291.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
8844505,Pisen,Hàng Quốc Tế/Thiết Bị Số - Phụ Kiện Số/Pin sạc dự phòng,239000,Sạc Dự Phòng PISEN (10000 mAh),(3 nhận xét),width:86%,https://salt.tikicdn.com/cache/200x200/ts/product/a6/a2/96/1e5f4eeb7201403772f7906c0db590e6.jpg,https://tiki.vn/sac-du-phong-pisen-10000-mah-p8844505.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
32165134,Laneige,Hàng Quốc Tế/Làm Đẹp - Sức Khỏe/Chăm sóc da mặt/Mặt nạ,59000,Mặt Nạ Ngủ Dưỡng Ẩm Môi Và Phục Hồi Môi Thâm Laneige Special Care Lip Sleeping Mask - (3g),(6 nhận xét),width:86%,https://salt.tikicdn.com/cache/200x200/ts/product/e5/ee/18/e7d5f7e7772cf91c21ebe61a63fc23f3.jpg,https://tiki.vn/mat-na-ngu-duong-am-moi-va-phuc-hoi-moi-tham-laneige-special-care-lip-sleeping-mask-3g-p32165134.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
26444143,Innisfree,Hàng Quốc Tế/Làm Đẹp - Sức Khỏe/Chăm sóc da mặt/Dưỡng da mặt,141000,Set Dưỡng Da Trà Xanh Innisfree Green Tea Special Kit EX (Mẫu Mới),(9 nhận xét),width:88%,https://salt.tikicdn.com/cache/200x200/ts/product/61/a2/90/ac748745418fa84407884f5d2b6290a6.JPG,https://tiki.vn/set-duong-da-tra-xanh-innisfree-green-tea-special-kit-ex-mau-moi-p26444143.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
9232583,Bayco,Hàng Quốc Tế/Nhà Cửa - Đời Sống/Dụng cụ phòng ăn & nhà bếp,176000,Kéo Bếp Inox Đa Năng BYG BAYCO BD2817,(23 nhận xét),width:86%,https://salt.tikicdn.com/cache/200x200/ts/product/2f/a5/ed/f834187cf475d7994c76882fc2da7ceb.jpg,https://tiki.vn/keo-bep-inox-da-nang-byg-bayco-bd2817-p9232583.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
26368751,MayCreate,Hàng Quốc Tế/Làm Đẹp - Sức Khỏe/Trang điểm/Trang điểm môi,68000,Son Dưỡng Ẩm Có Màu Maycreate 3.8g,(13 nhận xét),width:84%,https://salt.tikicdn.com/cache/200x200/ts/product/d1/0e/33/8638a5899aeb76981544228efd4c2dba.jpg,https://tiki.vn/son-duong-am-co-mau-maycreate-3-8g-p26368751.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
4131231,Marco,"Hàng Quốc Tế/Sách, Văn phòng phẩm & Quà lưu niệm/Văn Phòng Phẩm/Bút - Viết",258000,Bút Chì Màu Gỗ Marco 6100-24CT (24 Cây),(10 nhận xét),width:82%,https://salt.tikicdn.com/cache/200x200/ts/product/b6/8a/06/e25bbbce0040f9eef7eadd7ec58bb80c.jpg,https://tiki.vn/but-chi-mau-go-marco-6100-24ct-24-cay-p4131231.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
21115748,Xiaomi,Hàng Quốc Tế/Thiết Bị Số - Phụ Kiện Số/Thiết bị thông minh/Đồng hồ thông minh,799000,Vòng Đeo Tay Thông Minh Theo Dõi Vận Động Xiaomi Mi Band 4 - Hàng Chính Hãng - Đen,(7 nhận xét),width:88%,https://salt.tikicdn.com/cache/200x200/ts/product/60/2c/55/e65ba58f9e44d7b2c89b8a5166de245b.jpg,https://tiki.vn/vong-deo-tay-thong-minh-theo-doi-van-dong-xiaomi-mi-band-4-hang-chinh-hang-den-p21115748.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
12439153,OEM,Hàng Quốc Tế/Nhà Cửa - Đời Sống/Sắp xếp nhà cửa,99000,Máy Xông Hơi Tinh Dầu Mini USB ,(2 nhận xét),width:90%,https://salt.tikicdn.com/cache/200x200/ts/product/fb/8e/14/9f244bc6da1392c7f66471efd0a5c8db.jpg,https://tiki.vn/ma-y-xong-hoi-tinh-da-u-mini-usb-p12439153.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
9025846,OEM,Hàng Quốc Tế/Làm Đẹp - Sức Khỏe/Trang điểm/Trang điểm mặt,131000,Kem Nền BB Cream Che Khuyết Điểm Cho Nam BLUEMAN (50g),(1 nhận xét),width:100%,https://salt.tikicdn.com/cache/200x200/ts/product/ef/05/46/0fe2c25eff93c029d8a2f877084ad8e9.jpg,https://tiki.vn/kem-nen-bb-cream-che-khuyet-diem-cho-nam-blueman-50g-p9025846.html?src=category-page-17166&2hi=0,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner1
